#,"t=0, mean_reward=0.70"
r,l,t
0.73,1000,0
1.89,1000,0
0.67,1000,0
0.38,1000,0
0.48,1000,0
0.93,1000,0
0.66,1000,0
1.43,1000,0
1.49,1000,0
0.38,1000,0
